"CRN","Subject","Course","Section","Campus","Credits","Title","Days","Time","Cap","Act","Rem","WL Cap","WL Act","WL Rem","Instructor","Dates","Location","Attributes"
"41073","MATH",="3410",="01","A01","1","Actuarial Exam P/1","W","12:00 pm-12:50 pm","40","2","38","10","0","10","Jie Liu (P)","08/19-12/10","SNOW 151",""
"41171","MATH",="3500",="01","A01","3","Numerical Analysis","MW","12:00 pm-1:15 pm","40","5","35","10","0","10","Buna Sambandham (P)","08/19-12/10","SNOW 147",""
"43482","MATH",="3700",="01","A01","3","Mathematical Modeling","MW","4:30 pm-5:45 pm","40","9","31","10","0","10","Vinodh Kumar Chellamuthu (P)","08/19-12/10","SNOW 125",""
"41788","MATH",="4000",="01","A01","3","Foundations of Algebra","TR","1:30 pm-2:45 pm","40","6","34","10","0","10","McKay Sullivan (P)","08/19-12/10","SNOW 125",""
"42140","MATH",="4500",="01","A01","3","Methods Teach Secondary Math","R","4:30 pm-7:00 pm","40","1","39","10","0","10","Jeff P Harrah (P)","08/19-12/10","SNOW 150",""
"40824","MATH",="4890R",="01","A01","3","Independent Research","","TBA","40","1","39","0","0","0","Vinodh Kumar Chellamuthu (P)","08/19-12/10","",""
"41918","MATH",="4890R",="02","A01","3","Independent Research","","TBA","40","0","40","0","0","0","TBA","08/19-12/10","",""
"41985","MATH",="4890R",="03","A01","3","Independent Research","","TBA","40","0","40","0","0","0","TBA","08/19-12/10","",""
"41933","MATH",="4900",="02","A01","3","Senior Capstone Seminar","","TBA","40","2","38","0","0","0","TBA","08/19-12/10","","ALUR"
"41963","MATH",="4900",="03","A01","3","Senior Capstone Seminar","","TBA","40","0","40","0","0","0","TBA","08/19-12/10","","ALUR"
"41990","MATH",="4900",="04","A01","3","Senior Capstone Seminar","","TBA","40","0","40","0","0","0","TBA","08/19-12/10","","ALUR"
